codigo,descricao,quantidade,local,data_hora,responsavel,observacao
813272,Carcaça BV4 superior,3,,30/07/2025 00:00:00,,
813258,Carcaça New BV inferior,3,Furadeiras,30/07/2025 00:00:00,,
813265,Carcaça New BV superior,72,Furadeiras,30/07/2025 00:00:00,,
813096,Engrenagem ext DZ nova,8,Roginei,30/07/2025 00:00:00,,
813281,Suporte orelha do BV,415,Kit,30/07/2025 00:00:00,,
813037,Engrenagem DZ antiga,22,Roginei,30/07/2025 00:00:00,,
813009,Alavanca,253,,30/07/2025 00:00:00,,
813249,Cilindro Nylon,602,,30/07/2025 00:00:00,,
813294,Porca plástico,20,,30/07/2025 00:00:00,,
813293,Miolo do cilindro de plástico,61,,30/07/2025 00:00:00,,
813409,Tampa do dz,68,,30/07/2025 00:00:00,,
813271,Carcaça BV3 inferior,7,Furadeiras,30/07/2025 00:00:00,,
813270,Carcaça BV3 superior,3,Furadeiras,30/07/2025 00:00:00,,
813272,Carcaça BV4 superior,3,Furadeiras,30/07/2025 00:00:00,,
813258,Carcaça New BV inferior,3,Furadeiras,30/07/2025 00:00:00,,
813265,Carcaça New BV superior,72,Furadeiras,30/07/2025 00:00:00,,
813096,Engrenagem ext DZ nova,8,Roginei,30/07/2025 00:00:00,,
813281,Suporte orelha do BV,415,Kit,30/07/2025 00:00:00,,
813037,Engrenagem DZ antiga,22,Rodinei,30/07/2025 00:00:00,,
813271,Carcaça BV3 inferior,2,Furadeiras,31/07/2025 00:00:00,,
813273,Carcaça BV4 inferior,1,Furadeiras,31/07/2025 00:00:00,,
813258,Carcaça New BV inferior,14,Furadeiras,31/07/2025 00:00:00,,
813265,Carcaça New BV superior,49,Furadeiras,31/07/2025 00:00:00,,
813281,Suporte orelha do BV,116,Kit,31/07/2025 00:00:00,,
813273,Carcaça BV4 inferior,241,Furadeiras,12/08/2025 00:00:00,,
813146,Gomo alumínio,1265,Cremalheiras,12/08/2025 00:00:00,,
813251,Sem fim alumínio,288,Júlio,12/08/2025 00:00:00,,
813255,Sem fim 2 entradas aço,75,Júlio,12/08/2025 00:00:00,,
813253,Sem fim 1 entrada aço,136,Júlio,12/08/2025 00:00:00,,
813271,Carcaça BV3 inferior,17,Furadeiras,13/08/2025 00:00:00,,
813270,Carcaça BV3 superior,36,Furadeiras,13/08/2025 00:00:00,,
813273,Carcaça BV4 inferior,63,Furadeiras,13/08/2025 00:00:00,,
813272,Carcaça BV4 superior,16,Furadeiras,13/08/2025 00:00:00,,
813271,Carcaça BV3 inferior,4,Pivo,18/08/2025 00:00:00,,
813270,Carcaça BV3 superior,10,Pivo,18/08/2025 00:00:00,,
813265,Carcaça New BV superior,83,Furadeiras,18/08/2025 00:00:00,,
813281,Suporte orelha do BV,302,Kit,18/08/2025 00:00:00,,
813306,Suporte orelha New BV,266,Kit,18/08/2025 00:00:00,,
813271,Carcaça BV3 inferior,16,Pivo e BV,20/08/2025 00:00:00,,
813270,Carcaça BV3 superior,16,Pivo e BV,20/08/2025 00:00:00,,
813281,Suporte orelha do BV,277,Kit,20/08/2025 00:00:00,,
813199,Base de alumínio DZ,126,,22/08/2025 00:00:00,,
813146,Gomo alumínio,1666,,22/08/2025 00:00:00,,
813271,Carcaça BV3 inferior,54,,01/09/2025 00:00:00,,
813270,Carcaça BV3 superior,15,,01/09/2025 00:00:00,,
813259,Carcaça New BV com encoder,6,,01/09/2025 00:00:00,,
813258,Carcaça New BV inferior,16,,01/09/2025 00:00:00,,
813265,Carcaça New BV superior,124,,01/09/2025 00:00:00,,
813310,Cilindro da chave,131,,01/09/2025 00:00:00,,
813037,Engrenagem DZ antiga,25,,01/09/2025 00:00:00,,
813039,Veneziana,20,,01/09/2025 00:00:00,,
813281,Suporte orelha do BV,3,,01/09/2025 00:00:00,,
813271,Carcaça BV3 inferior,20,Pivo,03/09/2025 00:00:00,,
813270,Carcaça BV3 superior,13,Pivo,03/09/2025 00:00:00,,
813306,Suporte orelha New BV,96,Kit,03/09/2025 00:00:00,,
813100,Engrenagem Zamac 1 Entrada,170,Roginei,03/09/2025 00:00:00,,
813199,Base de alumínio DZ,15,Motores,03/09/2025 00:00:00,,
813239,Aranha inferior,27,Motores,03/09/2025 00:00:00,,
813238,Aranha superior,23,Motores,03/09/2025 00:00:00,,
813009,Alavanca,267,Sirley,10/09/2025 00:00:00,,
813199,Base de alumínio DZ,12,Montagem,10/09/2025 00:00:00,,
804123,Base superior do controle c/logo,428,Montagem,10/09/2025 00:00:00,,
813273,Carcaça BV4 inferior,44,Desmanche,10/09/2025 00:00:00,,
813272,Carcaça BV4 superior,38,Desmanche,10/09/2025 00:00:00,,
813146,Gomo alumínio,1750,Cremalheiras,10/09/2025 00:00:00,,
813281,Suporte orelha do BV,110,Kit,10/09/2025 00:00:00,,
813271,Carcaça BV3 inferior,7,,11/09/2025 00:00:00,,
813270,Carcaça BV3 superior,6,,11/09/2025 00:00:00,,
813310,Cilindro da chave,14,,11/09/2025 00:00:00,,
813281,Suporte orelha do BV,13,,11/09/2025 00:00:00,,
813521,Borboleta,13,Pivo,15/09/2025 00:00:00,,
813271,Carcaça BV3 inferior,15,Pivo,15/09/2025 00:00:00,,
813270,Carcaça BV3 superior,9,Pivo,15/09/2025 00:00:00,,
813310,Cilindro da chave,14,Pivo,15/09/2025 00:00:00,,
813249,Cilindro Nylon,432,Cirley,15/09/2025 00:00:00,,
813037,Engrenagem DZ antiga,5,Roginei,15/09/2025 00:00:00,,
813096,Engrenagem ext DZ nova,29,Roginei,15/09/2025 00:00:00,,
813243,Engrenagem ext industrial,1,Roginei,15/09/2025 00:00:00,,
813080,Gomo plástico,184,Cremalheiras,15/09/2025 00:00:00,,
813281,Suporte orelha do BV,19,Pivo,15/09/2025 00:00:00,,
813033,Tampa da ventoinha,27,Desmanche e pivo,15/09/2025 00:00:00,,
813025,Ventoinha,22,Desmanche e pivo,15/09/2025 00:00:00,,
813094,Engrenagem 1 entrada nylon,17,Roginei,15/09/2025 00:00:00,,
701157,Engrenagem interna industrial,5,Roginei,15/09/2025 00:00:00,,
813255,Sem fim 2 entradas aço,49,Roginei,15/09/2025 00:00:00,,
813409,Tampa do dz,10,Roginei,15/09/2025 00:00:00,,
813099,Zamac 2 entradas com imã,142,Roginei,15/09/2025 00:00:00,,
813262,Acoplamento New BV,52,Zé,18/09/2025 00:00:00,,
