Código,Descrição,Média,Sistema,Galpão,Divergente,%,Data,Hora,Tipo,Observação,
202062,AÇO RED TREF SAE 1020 5.00 SAE,1,157.0,157.0,0.0,0.0,2026-05-26,16:52:00,Contado,Difícil mensurar com exatidão,
813277,ROLAMENTO PLÁSTICO DO FUSO BV,15,6344.0,600.0,-5744.0,-9.573333333333334,2026-05-26,16:58:00,Inventário,,
813048,MANCAL PERFIL SUPERIOR BV,15,3110.0,640.0,-2470.0,-3.859375,2026-05-26,17:01:00,Inventário,,
801272,SUPORTE DAS BATERIAS CANCELA AGUSTA - CINZA,30.5,13.0,11.0,-2.0,-0.18181818181818182,2026-05-27,15:31:00,Contado,,
801242,SUPORTE DAS FONTES CANCELA AGUSTA - CINZA,10.333333333333334,11.0,17.0,6.0,0.35294117647058826,2026-05-27,15:31:00,Inventário,,
801249,BASE SUPERIOR DE FIXAÇÃO DA CENTRAL NO GABINETE - CINZA,31.333333333333332,13.0,17.0,4.0,0.23529411764705882,2026-05-27,15:36:00,Inventário,,
801265,CHAPA EM U DO SUPORTE DA BARREIRA (MODELO FIX. MACHO E FÊMEA) - CINZA,31,7.0,2.0,-5.0,-2.5,2026-05-27,15:39:00,Inventário,,
801249,BASE SUPERIOR DE FIXAÇÃO DA CENTRAL NO GABINETE - CINZA,31.333333333333332,31.0,29.0,-2.0,-0.06896551724137931,2026-05-28,13:40:00,Contado,,
801265,CHAPA EM U DO SUPORTE DA BARREIRA (MODELO FIX. MACHO E FÊMEA) - CINZA,31,75.0,76.0,1.0,0.013157894736842105,2026-05-28,13:41:00,Contado,,
801272,SUPORTE DAS BATERIAS CANCELA AGUSTA - CINZA,30.5,27.0,25.0,-2.0,-0.08,2026-05-28,13:42:00,Contado,,
801242,SUPORTE DAS FONTES CANCELA AGUSTA - CINZA,10.333333333333334,31.0,29.0,-2.0,-0.06896551724137931,2026-05-28,13:48:00,Contado,,
801219,GABINETE DA CANCELA - CINZA,44.333333333333336,27.0,29.0,2.0,0.06896551724137931,2026-05-28,14:26:00,Contado,,
512003,CONJUNTO ESTATOR E ROTOR AGL DESL P17 1/7 cv 04 42Z 220V 50HZ,98,120.0,500.0,380.0,0.76,2026-05-29,12:08:00,,inventário para faturar,
813024,TAMPA PROTEÇÃO DO MOTOR - PRETA,19,228.0,500.0,272.0,0.544,2026-05-29,12:08:00,,inventário para faturar,
813101,"CREMALHEIRA PERFIL AÇO GOMO DE ALUMÍNIO 1,5M",61.5,0.0,1000.0,1000.0,1.0,2026-05-29,12:08:00,O.P,inventário para faturar,
813459,"TUBO DE INOX CORTADO PARA PIVO 0,75M",60,2.0,12.0,10.0,0.8333333333333334,2026-05-29,12:13:00,,inventário para faturar,
512001,CONJUNTO ESTATOR E ROTOR AGL DESL P17 1/7 cv 04 42Z 127V 60HZ,19.333333333333332,40.0,134.0,94.0,0.7014925373134329,2026-06-03,13:59:00,Inventário,Emergêncial,
804540,BASE SUPERIOR PP DO MOTOR DESLIZANTE,24.333333333333332,44.0,200.0,156.0,0.78,2026-06-08,07:39:00,Inventário,"Inventário emergêncial, necessita contagem.",
804542,BASE INFERIOR PP MOTORES DESLIZANTES,24.333333333333332,30.0,200.0,170.0,0.85,2026-06-08,07:40:00,Inventário,"Inventário emergêncial, necessita contagem.",
813024,TAMPA PROTEÇÃO DO MOTOR - PRETA,19,200.0,27.0,-173.0,-6.407407407407407,2026-06-08,07:41:00,Inventário,"Inventário emergêncial, necessita contagem.",
813500,BASE REGULÁVEL DA BASE DE CHÃO DZ,1,32.0,0.0,-32.0,0.0,2026-06-08,09:06:00,Inventário,,
813499,BASE FIXA DA BASE DE CHÃO DZ,1,21.0,0.0,-21.0,0.0,2026-06-08,09:07:00,Inventário,,
813290,BRACINHO ARTICULADO DZ HORIZONTAL,31.666666666666668,134.0,15.0,-119.0,-7.933333333333334,2026-06-08,15:22:00,Inventário,,
813558,"PERFIL AL 2,5M SOL 7 STLF-0864 6063",33.25,0.0,2.0,2.0,1.0,2026-06-08,15:44:00,Inventário,Estoque bem perto do real,
804248,TAMPA DA CENTRAL DESLIZANTE,14.636363636363637,72.0,466.0,394.0,0.8454935622317596,2026-06-09,07:59:00,Inventário,Emergêncial,
813050,"FUSO P 7.5MM DE 1,5M E 4 ENTRADAS BV",73.5,19.0,99.0,80.0,0.8080808080808081,2026-06-09,08:08:00,O.P,,
813317,MANCAL SUPERIOR DO PIVO,1,2697.0,2154.0,-543.0,-0.2520891364902507,2026-06-09,09:00:00,Inventário,,
813472,ROLDANA DE NYLON DO BV CADENA - PEÇA FÊMEA,8.25,24.0,24.0,0.0,0.0,2026-06-10,07:42:00,Contado,,
813473,ROLDANA DE NYLON DO BV CADENA - PEÇA MACHO,8.25,24.0,24.0,0.0,0.0,2026-06-10,07:42:00,Contado,,
813048,MANCAL PERFIL SUPERIOR BV,15,618.0,618.0,0.0,0.0,2026-06-10,07:45:00,,Acompanhar,
813277,ROLAMENTO PLÁSTICO DO FUSO BV,15,906.0,906.0,0.0,0.0,2026-06-10,07:46:00,,Acompanhar,
813054,MANCAL PERFIL INFERIOR,1,2330.0,1319.0,-1011.0,-0.7664897649734648,2026-06-10,07:52:00,Contado,Acompanhar,
512005,CONJUNTO ESTATOR E ROTOR AGL DESL P28 1/4 cv 04 42Z 220V 60Hz,45.5,0.0,59.0,59.0,1.0,2026-06-10,08:22:00,Inventário,,
804508,COROA DO MOVIMENTADOR BV/PIVO NYLON Ø 20MM,1,1124.0,1029.0,-95.0,-0.0923226433430515,2026-06-10,08:26:00,Inventário,,
813517,SUPORTE UNIVERSAL PORCA DO FUSO,1,1869.0,1192.0,-677.0,-0.5679530201342282,2026-06-10,08:30:00,Inventário,,
813532,CARTUCHO DA PORCA 4 ENTRADAS,1,429.0,336.0,-93.0,-0.2767857142857143,2026-06-10,14:03:00,Inventário,,
813331,SUPORTE DE INSTALAÇÃO DO IMÃ DZ,132,546.0,528.0,-18.0,-0.03409090909090909,2026-06-10,14:10:00,,Acompanhar,
813040,MANCAL DE CENTRAGEM,1,1474.0,1319.0,-155.0,-0.11751326762699014,2026-06-10,14:13:00,,Acompanhar,
804280,CAPA DO CILINDRO DA LINHA ULTRA - PRETO,5,,,0.0,0.0,2026-06-10,14:24:00,,Item não tem estoque no setor,
804499,PRESILHA ANTENA EXTERNA ULTRA CARD/MAGIC CARD - PRETA,5,,,0.0,0.0,2026-06-10,14:24:00,,Item não tem estoque no setor,
804500,SUPORTE DA ANTENA EXTERNA ULTRA CARD/MAGIC CARD - PRETA,5,,,0.0,0.0,2026-06-10,14:24:00,,Item não tem estoque no setor,
804606,TAMPA DE ACABAMENTO DA CANALETA FLEXIVEL COM SAÍDA DO LED,5,,,0.0,0.0,2026-06-10,14:24:00,,Item não tem estoque no setor,
804263,TAMPA DO NOBREAK 12V 7A,5,,,0.0,0.0,2026-06-10,14:24:00,,Item não tem estoque no setor,
710002,PEÇAS INJETADAS - T07-3527-02 BASE TOKO,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804108,TAMPA DO MODULO DA TRAVA,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804512,BASE DE VEDAÇÃO TRAVA ELETROMAGNÉTICA (MODELO NOVO),5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804513,PLAQUETA DE ABERTURA PP TRAVA ELETROMAGNÉTICA/ GABINETE,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804216,ACABAMENTO REDONDO DO CILINDRO DA RX500 - BRANCO,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
801079,ACIONADOR DA TAMPA COM BOTÃO MINI/AL100/AL100R,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804127,BOTÃO AL100R / AL100 / MINI / IX100 - CINZA,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804211,CAPA DO CILINDRO PARA BOTÃO LISA - PRETO,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804383,GUIA DO BATENTE AL100 A.EXT / MINI A.EXT / AL100R - BRANCO,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804307,TAMPA PROTEÇÃO MINI SMART - PRETA,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804214,MEMBRANA PLASTICA CONTROLE DE ACESSO FECHADURA RX500 - BRANCA,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804601,CARCAÇA EXTERNA FECHADURAS RX / BT-100 / BT-1 / SMART X3 - BRANCA(MODELO NOVO RETRANGULAR),5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804602,TAMPA TRASEIRA EXTERNA FECHADURAS RX / BT-100 / BT-1 / SMART X3 - BRANCO (MODELO NOVO RETRANGULAR),5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804604,BOTÃO ABERTURA ELETRÔNICO EXTERNA FECHADURAS RX / BT-100 / BT-1 / SMART X3 - BRANCO (MODELO NOVO RET,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804603,BOTÃO ABERTURA MANUAL  EXTERNA FECHADURAS RX / BT-100 / BT-1 / SMART X3 - BRANCO (MODELO NOVO RETRAN,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804228,PROTETOR DE PCI FECHADURAS RX,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804229,SUPORTE DE MOLA P/ PILHA FECHADURA RX100 / RX200 / RX500,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804230,LINGUETA PLASTICA AGL DA FECHADURA RX100/RX200/RX500/MINI SMART,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804241,"ACABAMENTO BATENTE BRANCO LINHA RX / MINI SMART 1,50MM X 119MM (N°2)",5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804242,"ACABAMENTO DO BATENTE MINI SMART 2,7MMX119MM - BRANCO (N°3)",5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804243,"ACABAMENTO BATENTE BRANCO LINHA RX / MINI SMART 3,5MM X 119MM (N°1)",5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804497,TRAVA DA BIOMETRIA FECHADURAS RXS/B-100/BT-1/T12S - PRETA,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804523,FRENTE PAINEL AGL BT-100 BIO APP - BRANCA,5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804544,ENGRENAGEM MINI MOTOR PARA FECHADURAS DIGITAIS (MODELO N20AGB298-11115),5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804545,SUPORTE MINI MOTOR PARA FECHADURAS RX200/RX500/BT100 (MODELO N20AGB298-11115),5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
804221,CARCAÇA EXTERNA FECHADURAS RX / BT-100 / BT-1 / SMART X3 (MODELO ANTIGO),5,,,0.0,0.0,2026-06-10,14:28:00,,Item não tem estoque no setor,
