id,id_inspecao,op,codigo,descricao,quantidade_programada,inspecao_completa,quantidade_nc,codigo_nc,observacao,codigo_item,descricao_item,destino,sem_fim,central,inspecoes,tensao
8,8,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Estator,estator,Nacional,,,0,
9,8,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Sem fim,sem_fim,Nacional,,,0,
10,8,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Furo,furo,Nacional,,,0,
11,8,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Capacitor,capacitor,Nacional,,,0,
12,8,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Placa,placa,Nacional,,,0,
13,8,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Jumper,jumper,Nacional,,,0,
14,8,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,KIT,kit,Nacional,,,0,
15,8,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Manual,manual,Nacional,,,0,
16,8,97634,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
9,9,97779,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,57,True,0,,,2008002,Estator,estator,Nacional,,,0,
10,9,97779,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,57,True,0,,,2008002,Sem fim,sem_fim,Nacional,,,0,
11,9,97779,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,57,True,0,,,2008002,Capacitor,capacitor,Nacional,,,0,
12,9,97779,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,57,True,0,,,2008002,Jumper,jumper,Nacional,,,0,
13,9,97779,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,57,True,0,,,2008002,Tampa,tampa,Nacional,,,0,
14,9,97779,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,57,True,0,,,2008002,Manual,manual,Nacional,,,0,
15,9,97779,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,57,True,0,,,2008002,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
10,10,98567,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Estator,estator,Nacional,1 entrada,Inteligente - Izzy 300 220V 50-60Hz,0,220
11,10,98567,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Sem fim,sem_fim,Nacional,1 entrada,Inteligente - Izzy 300 220V 50-60Hz,0,220
12,10,98567,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Engrenagem,engrenagem,Nacional,1 entrada,Inteligente - Izzy 300 220V 50-60Hz,0,220
13,10,98567,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Capacitor,capacitor,Nacional,1 entrada,Inteligente - Izzy 300 220V 50-60Hz,0,220
14,10,98567,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Placa,placa,Nacional,1 entrada,Inteligente - Izzy 300 220V 50-60Hz,0,220
15,10,98567,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Base,base,Nacional,1 entrada,Inteligente - Izzy 300 220V 50-60Hz,0,220
16,10,98567,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Tampa,tampa,Nacional,1 entrada,Inteligente - Izzy 300 220V 50-60Hz,0,220
17,10,98567,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Manual,manual,Nacional,1 entrada,Inteligente - Izzy 300 220V 50-60Hz,0,220
18,10,98567,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Cilindro e chave,cilindro_e_chave,Nacional,1 entrada,Inteligente - Izzy 300 220V 50-60Hz,0,220
19,10,98567,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Etiqueta Tampa,etiqueta_tampa,Nacional,1 entrada,Inteligente - Izzy 300 220V 50-60Hz,0,220
11,11,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Estator,estator,Nacional,,,0,
12,11,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Sem fim,sem_fim,Nacional,,,0,
13,11,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Engrenagem,engrenagem,Nacional,,,0,
14,11,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Capacitor,capacitor,Nacional,,,0,
