CÓD DO PRODUTO,DESCRIÇÃO,CENTRAL,CARENAGEM,ESTATOR E SEM FIM,CAPACITOR,KIT DE INSTALAÇÃO
2008001,CONJ. MOVIMENTADOR TRINO BV3 127V SEM ACIONAMENTO,FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF,
2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,12UF,
2008003,CONJ. MOVIMENTADOR TRINO BV4 127V SEM ACIONAMENTO,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,12UF,
2008005,CONJ. MOVIMENTADOR TRINO BV3 SPEED 127V SEM ACIONAMENTO,FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF,
2008007,CONJ. MOVIMENTADOR TRINO BV4 SPEED 127V SEM ACIONAMENTO,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2008008,CONJ. MOVIMENTADOR TRINO BV4 SPEED 220V SEM ACIONAMENTO,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,12UF,
2008011,CONJ. MOVIMENTADOR TRINO BV3 127V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF,
2008012,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,12UF,
2008013,CONJ. MOVIMENTADOR TRINO BV4 127V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2008014,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,12UF,
