CÓD DO PRODUTO,DESCRIÇÃO,CENTRAL,BASE,ENGRENAGEM,ESTATOR E SEM FIM,CAPACITOR,TAMPA,CILINDRO,CONTROLE,Unnamed: 10
2001215,CONJ. MOVIMENTADOR DZ BRABUS SPEED LIGHT 220V 50-60HZ SEM CREMALHEIRA,FX BRABUS,COM ENCODER,NYLON 1 ENT COM IMÃ,P22 220V 2 POLOS 1 ENT (AÇO),20UF,PRETA C/ VENEZIANA,PLÁSTICO,COM BORNE,
2006112,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 700 127V 50-60HZ COM B. ALUMINIUM C/ CREMALHEIRA 3MT EX,IZZY,B. ALUM C/ ENCODER,ZAMAC 1 ENT COM IMÃ,P33 127V 1 ENT,30UF,GRAFITE,METAL ,COM BORNE,
2001304,CONJ. MOVIMENTADOR DZ BRABUS SPEED 900 220V 50-60HZ B. ALUMINIUM C/ CREMALHEIRA 3MT EX,FX BRABUS,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P39 220V 2 POLOS 1 ENT (AÇO),20UF,PRETA C/ VENEZIANA,METAL ,COM BORNE,
2001080,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ C/ CREMALHEIRA 3MT EX,FLEX,COM ENCODER,ZAMAC 1 ENT COM IMÃ,P45 50HZ 220V 1 ENT,12UF,PRETA C/ VENEZIANA,METAL ,COM BORNE,
2001076,CONJ. MOVIMENTADOR TRINO 500 SPEED 220V 50-60HZ C/ CREMALHEIRA 3MT EX,FLEX,COM ENCODER,ZAMAC 2 ENT COM IMÃ,P45 50HZ 220V 2 ENT,20UF,CINZA C/ VENEZIANA,METAL ,COM BORNE,
2001291,CONJ. MOVIMENTADOR DZ BRABUS SPEED LIGHT 127V 50-60HZ SEM CREMALHEIRA,FX BRABUS,COM ENCODER,NYLON 1 ENT COM IMÃ,P22 127V 2 POLOS 1 ENT (AÇO),40UF,PRETA C/ VENEZIANA,PLÁSTICO,COM BORNE,
2006115,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 900 220V 50-60HZ S. CREMALHEIRA C. B. ALUM,IZZY,B. ALUM C/ ENCODER,ZAMAC 1 ENT COM IMÃ,P45 220V 1 ENT,12UF,GRAFITE COM VENEZIANA,METAL,COM BORNE,
2001187,CONJ. MOVIMENTADOR TRINO 700 220V 50-60HZ SEM CREMALEHIRA COM B. ALUMINIUM,FLEX,B. ALUM C/ ENCODER,ZAMAC 1 ENT COM IMÃ,P33 220V 1 ENT,15 UF,PRETA,METAL,COM BORNE,
2001195,CONJ. MOVIMENTADOR TRINO 300 SPEED 220V 50-60HZ SEM CREMALHEIRA COM B. ALUMINIUM C/ CREMALHEIRA 3MT EX,FLEX,B. ALUM C/ ENCODER,ZAMAC 2 ENT COM IMÃ,P33 50HZ 220V 2 ENT,20UF,CINZA,METAL ,COM BORNE,
2006117,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 500 SPEED 127V 50-60HZ SEM CREMALHEIRA COM B. ALUMINIUM,IZZY,B. ALUM C/ ENCODER,ZAMAC 2 ENT COM IMÃ,P45 127V 2 ENT,50UF,BRANCA C/ VENEZIANA,METAL,COM BORNE,
2001073,CONJ. MOVIMENTADOR TRINO 500 127V 50-60HZ C/ CREMALHEIRA 3MT EX,FLEX,SEM ENCODER,NYLON 1 ENT SEM IMÃ,P28 127V 1 ENT,30UF,PRETA,METAL ,COM BORNE,
2001225,CONJ. MOVIMENTADOR TRINO SOFT 220V 50-60Hz COM  B. ALUMINIUM BBS C/ CREMALHEIRA 3MT EX,FLEX,B. ALUM C/ ENCODER,ZAMAC 2 ENT COM IMÃ,P33 50HZ 220V 2 ENT,20UF,CINZA,METAL ,COM BORNE,
2006040,CONJ. MOVIMENTADOR INTELIGENTE - IZZY DZ INDUSTRIAL STRONG 2000KG 220V 50-60HZ SEM CREMALHEIRA EX,IZZY INDUSTRIAL,ALUMÍNIO IND,NYLON IND COM IMÃ,P80 220V,20UF,PRETA IND,METAL ,COM BORNE,
2001300,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 1500KG 220V 50-60HZ SEM CREMALHEIRA,CCMD INDUSTRIAL,ALUMÍNIO IND,NYLON IND COM IMÃ,P60 220V,20UF,PRETA IND,METAL IND,COM BORNE,
2001299,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 1000KG 220V 50-60HZ SEM CREMALHEIRA,CCMD INDUSTRIAL,ALUMÍNIO IND,NYLON IND COM IMÃ,P45 220V,20UF,PRETA IND,METAL IND,COM BORNE,
2001285,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ COM  B. ALUMINIUM BBS C/ CREMALHEIRA 3MT EX,LIGHT,B. ALUM SEM ENCODER,NYLON 1 ENT SEM IMÃ,P 17 220V 50HZ,12UF,PRETA,METAL ,COM BORNE,
2001185,CONJ. MOVIMENTADOR TRINO 500 SPEED 220V 50-60HZ SEM CREMALHEIRA COM  B. ALUMINIU,FLEX,B. ALUM C/ ENCODER,ZAMAC 2 ENT COM IMÃ,P 45 220V 2 ENT,20UF,CINZA C/ VENEZIANA,METAL,COM BORNE,
2001088,CONJ. MOVIMENTADOR TRINO 500 220V 50-60HZ SEM CREMALHEIRA EX,FLEX,SEM ENCODER,NYLON 1 ENT SEM IMÃ,P28 220V 1 ENT,12UF,PRETA,METAL ,COM BORNE,
2001311,CONJ. MOVIMENTADOR TRINO 300 127V LIGHT 50-60HZ KRIPT SEM CREMALHEIRA,LIGHT,SEM ENCODER,NYLON 1 ENT SEM IMÃ,P17 60HZ 127V 1 ENT,30UF,PRETA,PLÁSTICO,COM BORNE,
2001315,CONJ. MOVIMENTADOR TRINO SPEED TURBO PRO 1/2 FREQUENCY INVERTER BIVOLT 50-60HZ B. ALUMINIUM C/ CREMALHEIRA 3MT EX,NEW INVERTER,ALUMIN C/ENCODER,NYLON 1 ENT COM IMÃ,P39 110V TRIF 1 ENT,NÃO USA,CINZA C/ VENEZIANA,METAL ,COM BORNE,
2001314,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 2000KG 127V 50-60HZ COM CREMALHEIRA 3MT EX,CCMD INDUSTRIAL,ALUMÍNIO IND,NYLON IND COM IMÃ,P80 127V,30UF,PRETA IND,METAL ,COM BORNE,
2001313,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 1000KG 127V 50-60HZ COM CREMALHEIRA 3MT EX,CCMD INDUSTRIAL,ALUMÍNIO IND,NYLON IND COM IMÃ,P45 127V,50UF,PRETA IND,METAL ,COM BORNE,
2001316,CONJ. MOVIMENTADOR TRINO SPEED TURBO PRO 1/2 FREQUENCY INVERTER BIVOLT 50-60HZ B. ALUM. S. CREMAL EX,NEW INVERTER,ALUMIN C/ENCODER,NYLON 1 ENT COM IMÃ,P24 110V TRIF 1 ENT,NÃO USA,CINZA C/ VENEZIANA,METAL ,COM BORNE,
2006119,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 127V 50-60HZ SEM CREMALHEIRA COM B. ALUMINIUM,IZZY,COM ENCODER,NYLON 1 ENT COM IMÃ,P17 60HZ 127V 1 ENT,15 UF,GRAFITTE,PLÁSTICO,COM BORNE,
2006126,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 900 127V 50-60HZ COM B. ALUMINIUM TECLAM C/ CREMALHEIRA 3MT EX,IZZY,ALUMIN C/ENCODER,ZAMAC 1 ENT COM IMÃ,P45 127V 1 ENT AÇO,50UF,GRAFITE COM VENEZIANA,METAL ,COM BORNE,
2006131,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 500 127V 50-60HZ COM B. ALUMINIUM TECLAM C/ CREMALHEIRA 3MT EX,IZZY,ALUMIN C/ENCODER,NYLON 1 ENT COM IMÃ,P28 127V 1 ENT  ALUMINIO,30UF,GRAFITE,METAL ,COM BORNE,
2006130,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 127V 50-60HZ COM B. ALUMINIUM TECLAM C/ CREMALHEIRA 3MT EX,IZZY,ALUMIN C/ENCODER,NYLON 1 ENT COM IMÃ,P17 127V 1 ENT  ALUMINIO,30UF,GRAFITE,METAL ,COM BORNE,
2001326,CONJ. MOVIMENTADOR TRINO 500 127V 50-60HZ COM  B. ALUMINIUM TECLAM C/ CREMALHEIRA 3MT EX,FLEX,ALUMIN C/ENCODER,NYLON 1 ENT SEM IMÃ,P28 127V 1 ENT  ALUMINIO,30UF,PRETA,METAL ,COM BORNE,
2001329,CONJ. MOVIMENTADOR TRINO 900 127V 50-60HZ COM B. ALUMINIUM TECLAM C/ CREMALHEIRA 3MT EX,FLEX,ALUMIN C/ENCODER,ZAMAC 1 ENT COM IMÃ,P45 127V 1 ENT AÇO,50UF,PRETA C/ VENEZIANA,METAL ,COM BORNE,
2001327,CONJ. MOVIMENTADOR TRINO 500 SPEED 127V 50-60HZ COM B. ALUMINIUM TECLAM C/ CREMALHEIRA 3MT EX,FLEX,ALUMIN C/ENCODER,ZAMAC 2 ENT COM IMÃ,P45 127V 2 ENT AÇO,50UF,CINZA C/ VENEZIANA,METAL ,COM BORNE,
2001318,CONJ. MOVIMENTADOR TRINO SPEED TURBO PRO 1/2 FREQUENCY INVERTER BIVOLT 50-60HZ B. ALUMINIUM TECLAM C/ CREMALHEIRA 3MT EX,NEW INVERTER IZZY,ALUMIN C/ENCODER,NYLON 1 ENT COM IMÃ,P39 110V TRIF 1 ENT,NÃO USA,CINZA C/ VENEZIANA,METAL,COM BORNE,
